SessionID,N,Timestamp,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,AccX,AccY,AccZ,GyX,GyY,GyZ,VBAT,Label,Action Name,ActionTime
liad_olier_left_20250129_145152,1,0.0010004043579101562,-4617006.0,-4752367.0,-4760739.0,-4668837.0,-4818046.0,-4724229.0,-4233027.0,3564300.0,-15083.0,1606.0,3621.0,-155.0,-1517.0,-2736.0,3939.0,0,Rest,0.0010004043579101562
liad_olier_left_20250129_145152,2,0.0010004043579101562,-4620916.0,-4756186.0,-4765873.0,-4673746.0,-4820396.0,-4723324.0,-4239343.0,3566293.0,-15083.0,1606.0,3621.0,-155.0,-1517.0,-2736.0,3939.0,0,Rest,0.0010004043579101562
liad_olier_left_20250129_145152,3,0.0010004043579101562,-4621421.0,-4756496.0,-4767136.0,-4674805.0,-4819671.0,-4719922.0,-4244799.0,3568114.0,-15083.0,1606.0,3621.0,-155.0,-1517.0,-2736.0,3939.0,0,Rest,0.0010004043579101562
liad_olier_left_20250129_145152,4,0.0010004043579101562,-4620839.0,-4755670.0,-4766631.0,-4674269.0,-4818832.0,-4718440.0,-4247269.0,3568518.0,-15083.0,1606.0,3621.0,-155.0,-1517.0,-2736.0,3939.0,0,Rest,0.0010004043579101562
liad_olier_left_20250129_145152,5,0.0010004043579101562,-4620981.0,-4755614.0,-4766811.0,-4674446.0,-4818929.0,-4718193.0,-4248506.0,3568871.0,-15083.0,1606.0,3621.0,-155.0,-1517.0,-2736.0,3939.0,0,Rest,0.0010004043579101562
liad_olier_left_20250129_145152,6,0.0010004043579101562,-4618986.0,-4753404.0,-4764594.0,-4672306.0,-4817284.0,-4716862.0,-4248505.0,3568667.0,-15083.0,1606.0,3621.0,-155.0,-1517.0,-2736.0,3939.0,0,Rest,0.0010004043579101562
liad_olier_left_20250129_145152,7,0.0010004043579101562,-4615039.0,-4749174.0,-4759507.0,-4667519.0,-4814782.0,-4717385.0,-4244199.0,3566403.0,-15083.0,1606.0,3621.0,-155.0,-1517.0,-2736.0,3939.0,0,Rest,0.0010004043579101562
liad_olier_left_20250129_145152,8,0.0010004043579101562,-4614437.0,-4748382.0,-4758074.0,-4666364.0,-4815377.0,-4720674.0,-4239862.0,3564318.0,-15083.0,1606.0,3621.0,-155.0,-1517.0,-2736.0,3939.0,0,Rest,0.0010004043579101562
liad_olier_left_20250129_145152,9,0.0010004043579101562,-4615029.0,-4748825.0,-4758499.0,-4666916.0,-4816252.0,-4722333.0,-4238396.0,3563474.0,-14987.0,1561.0,3538.0,-622.0,-1483.0,-2743.0,3939.0,0,Rest,0.0010004043579101562
liad_olier_left_20250129_145152,10,0.0010004043579101562,-4615363.0,-4748979.0,-4758726.0,-4667209.0,-4816586.0,-4722927.0,-4237695.0,3562952.0,-14987.0,1561.0,3538.0,-622.0,-1483.0,-2743.0,3939.0,0,Rest,0.0010004043579101562
liad_olier_left_20250129_145152,11,0.0010004043579101562,-4617462.0,-4750916.0,-4761034.0,-4669522.0,-4818292.0,-4724076.0,-4238734.0,3562969.0,-14987.0,1561.0,3538.0,-622.0,-1483.0,-2743.0,3939.0,0,Rest,0.0010004043579101562
liad_olier_left_20250129_145152,12,0.0010004043579101562,-4621461.0,-4754799.0,-4766209.0,-4674481.0,-4820710.0,-4723270.0,-4244946.0,3564983.0,-14987.0,1561.0,3538.0,-622.0,-1483.0,-2743.0,3939.0,0,Rest,0.0010004043579101562
liad_olier_left_20250129_145152,13,0.0010004043579101562,-4621986.0,-4755096.0,-4767520.0,-4675602.0,-4819907.0,-4719713.0,-4251012.0,3566723.0,-14987.0,1561.0,3538.0,-622.0,-1483.0,-2743.0,3939.0,0,Rest,0.0010004043579101562
liad_olier_left_20250129_145152,14,0.0010004043579101562,-4621435.0,-4754272.0,-4767007.0,-4675047.0,-4819006.0,-4718139.0,-4253532.0,3567157.0,-14987.0,1561.0,3538.0,-622.0,-1483.0,-2743.0,3939.0,0,Rest,0.0010004043579101562
liad_olier_left_20250129_145152,15,0.0010004043579101562,-4621533.0,-4754134.0,-4767150.0,-4675176.0,-4818936.0,-4717739.0,-4255301.0,3567486.0,-14987.0,1561.0,3538.0,-622.0,-1483.0,-2743.0,3939.0,0,Rest,0.0010004043579101562
liad_olier_left_20250129_145152,16,0.0010004043579101562,-4619720.0,-4752059.0,-4765102.0,-4673181.0,-4817281.0,-4716434.0,-4255673.0,3567300.0,-14987.0,1561.0,3538.0,-622.0,-1483.0,-2743.0,3939.0,0,Rest,0.0010004043579101562
liad_olier_left_20250129_145152,17,0.0010004043579101562,-4615905.0,-4747928.0,-4760069.0,-4668422.0,-4814816.0,-4716996.0,-4250921.0,3565119.0,-14987.0,1561.0,3538.0,-622.0,-1483.0,-2743.0,3939.0,0,Rest,0.0010004043579101562
liad_olier_left_20250129_145152,18,0.0010004043579101562,-4615219.0,-4747027.0,-4758511.0,-4667137.0,-4815279.0,-4720147.0,-4246504.0,3562975.0,-14987.0,1561.0,3538.0,-622.0,-1483.0,-2743.0,3939.0,0,Rest,0.0010004043579101562
liad_olier_left_20250129_145152,19,0.0010004043579101562,-4615772.0,-4747406.0,-4758899.0,-4667661.0,-4816026.0,-4721643.0,-4245603.0,3562077.0,-14930.0,1399.0,3440.0,-916.0,-1390.0,-2721.0,3939.0,0,Rest,0.0010004043579101562
liad_olier_left_20250129_145152,20,0.0010004043579101562,-4616116.0,-4747545.0,-4759144.0,-4667972.0,-4816254.0,-4722078.0,-4245541.0,3561532.0,-14930.0,1399.0,3440.0,-916.0,-1390.0,-2721.0,3939.0,0,Rest,0.0010004043579101562
liad_olier_left_20250129_145152,21,0.0010004043579101562,-4618282.0,-4749541.0,-4761452.0,-4670287.0,-4817951.0,-4723230.0,-4246526.0,3561574.0,-14930.0,1399.0,3440.0,-916.0,-1390.0,-2721.0,3939.0,0,Rest,0.0010004043579101562
liad_olier_left_20250129_145152,22,0.0010004043579101562,-4622385.0,-4753514.0,-4766701.0,-4675304.0,-4820394.0,-4722446.0,-4252746.0,3563556.0,-14930.0,1399.0,3440.0,-916.0,-1390.0,-2721.0,3939.0,0,Rest,0.0010004043579101562
liad_olier_left_20250129_145152,23,0.0010004043579101562,-4623046.0,-4753928.0,-4768139.0,-4676519.0,-4819621.0,-4718839.0,-4258777.0,3565398.0,-14930.0,1399.0,3440.0,-916.0,-1390.0,-2721.0,3939.0,0,Rest,0.0010004043579101562
liad_olier_left_20250129_145152,24,0.0010004043579101562,-4622537.0,-4753132.0,-4767649.0,-4675981.0,-4818672.0,-4717178.0,-4261440.0,3565839.0,-14930.0,1399.0,3440.0,-916.0,-1390.0,-2721.0,3939.0,0,Rest,0.0010004043579101562
liad_olier_left_20250129_145152,25,0.0010004043579101562,-4622615.0,-4752967.0,-4767744.0,-4676056.0,-4818510.0,-4716650.0,-4263350.0,3566106.0,-14930.0,1399.0,3440.0,-916.0,-1390.0,-2721.0,3939.0,0,Rest,0.0010004043579101562
liad_olier_left_20250129_145152,26,0.0010004043579101562,-4620902.0,-4750976.0,-4765817.0,-4674180.0,-4816833.0,-4715224.0,-4264319.0,3565899.0,-14930.0,1399.0,3440.0,-916.0,-1390.0,-2721.0,3939.0,0,Rest,0.0010004043579101562
liad_olier_left_20250129_145152,27,0.0010004043579101562,-4617100.0,-4746838.0,-4760776.0,-4669404.0,-4814246.0,-4715581.0,-4259984.0,3563679.0,-14930.0,1399.0,3440.0,-916.0,-1390.0,-2721.0,3939.0,0,Rest,0.0010004043579101562
liad_olier_left_20250129_145152,28,0.0010004043579101562,-4616334.0,-4745839.0,-4759101.0,-4667993.0,-4814557.0,-4718598.0,-4255931.0,3561441.0,-14930.0,1399.0,3440.0,-916.0,-1390.0,-2721.0,3939.0,0,Rest,0.0010004043579101562
liad_olier_left_20250129_145152,29,0.0010004043579101562,-4617021.0,-4746344.0,-4759565.0,-4668576.0,-4815387.0,-4720194.0,-4254837.0,3560531.0,-14864.0,1182.0,3355.0,-990.0,-1271.0,-2659.0,3939.0,0,Rest,0.0010004043579101562
liad_olier_left_20250129_145152,30,0.0010004043579101562,-4617390.0,-4746504.0,-4759797.0,-4668871.0,-4815592.0,-4720589.0,-4254763.0,3559956.0,-14864.0,1182.0,3355.0,-990.0,-1271.0,-2659.0,3939.0,0,Rest,0.0010004043579101562
liad_olier_left_20250129_145152,31,0.0010004043579101562,-4619452.0,-4748369.0,-4761947.0,-4671021.0,-4817160.0,-4721642.0,-4255751.0,3559929.0,-14864.0,1182.0,3355.0,-990.0,-1271.0,-2659.0,3939.0,0,Rest,0.0010004043579101562
liad_olier_left_20250129_145152,32,0.0010004043579101562,-4623647.0,-4752431.0,-4767233.0,-4676096.0,-4819686.0,-4720982.0,-4261958.0,3561819.0,-14864.0,1182.0,3355.0,-990.0,-1271.0,-2659.0,3939.0,0,Rest,0.0010004043579101562
liad_olier_left_20250129_145152,33,0.002000093460083008,-4624406.0,-4752947.0,-4768802.0,-4677454.0,-4818924.0,-4717295.0,-4268547.0,3563646.0,-14864.0,1182.0,3355.0,-990.0,-1271.0,-2659.0,3939.0,0,Rest,0.002000093460083008
liad_olier_left_20250129_145152,34,0.002000093460083008,-4623931.0,-4752164.0,-4768334.0,-4676927.0,-4817943.0,-4715517.0,-4271457.0,3564096.0,-14864.0,1182.0,3355.0,-990.0,-1271.0,-2659.0,3939.0,0,Rest,0.002000093460083008
liad_olier_left_20250129_145152,35,0.002000093460083008,-4624106.0,-4752069.0,-4768453.0,-4677026.0,-4817841.0,-4715032.0,-4273070.0,3564394.0,-14864.0,1182.0,3355.0,-990.0,-1271.0,-2659.0,3939.0,0,Rest,0.002000093460083008
liad_olier_left_20250129_145152,36,0.002000093460083008,-4622539.0,-4750225.0,-4766657.0,-4675261.0,-4816251.0,-4713606.0,-4273864.0,3564263.0,-14864.0,1182.0,3355.0,-990.0,-1271.0,-2659.0,3939.0,0,Rest,0.002000093460083008
liad_olier_left_20250129_145152,37,0.002000093460083008,-4618668.0,-4746002.0,-4761581.0,-4670451.0,-4813481.0,-4713624.0,-4270114.0,3562114.0,-14864.0,1182.0,3355.0,-990.0,-1271.0,-2659.0,3939.0,0,Rest,0.002000093460083008
liad_olier_left_20250129_145152,38,0.002000093460083008,-4617893.0,-4744972.0,-4759827.0,-4668974.0,-4813761.0,-4716677.0,-4266105.0,3559808.0,-14864.0,1182.0,3355.0,-990.0,-1271.0,-2659.0,3939.0,0,Rest,0.002000093460083008
liad_olier_left_20250129_145152,39,0.002000093460083008,-4618649.0,-4745537.0,-4760289.0,-4669555.0,-4814668.0,-4718401.0,-4264641.0,3558834.0,-14846.0,1027.0,3292.0,-1133.0,-1190.0,-2559.0,3939.0,0,Rest,0.002000093460083008
liad_olier_left_20250129_145152,40,0.002000093460083008,-4619012.0,-4745667.0,-4760491.0,-4669830.0,-4814832.0,-4718737.0,-4264586.0,3558214.0,-14846.0,1027.0,3292.0,-1133.0,-1190.0,-2559.0,3939.0,0,Rest,0.002000093460083008
liad_olier_left_20250129_145152,41,0.002000093460083008,-4620709.0,-4747149.0,-4762219.0,-4671585.0,-4816066.0,-4719567.0,-4265671.0,3557989.0,-14846.0,1027.0,3292.0,-1133.0,-1190.0,-2559.0,3939.0,0,Rest,0.002000093460083008
liad_olier_left_20250129_145152,42,0.002000093460083008,-4624817.0,-4751099.0,-4767311.0,-4676488.0,-4818598.0,-4719176.0,-4271539.0,3559631.0,-14846.0,1027.0,3292.0,-1133.0,-1190.0,-2559.0,3939.0,0,Rest,0.002000093460083008
liad_olier_left_20250129_145152,43,0.002000093460083008,-4625869.0,-4751892.0,-4769187.0,-4678173.0,-4818079.0,-4715626.0,-4278256.0,3561424.0,-14846.0,1027.0,3292.0,-1133.0,-1190.0,-2559.0,3939.0,0,Rest,0.002000093460083008
liad_olier_left_20250129_145152,44,0.002000093460083008,-4625354.0,-4751047.0,-4768662.0,-4677621.0,-4817017.0,-4713689.0,-4281295.0,3561863.0,-14846.0,1027.0,3292.0,-1133.0,-1190.0,-2559.0,3939.0,0,Rest,0.002000093460083008
liad_olier_left_20250129_145152,45,0.002000093460083008,-4625337.0,-4750748.0,-4768517.0,-4677486.0,-4816779.0,-4713191.0,-4282744.0,3562014.0,-14846.0,1027.0,3292.0,-1133.0,-1190.0,-2559.0,3939.0,0,Rest,0.002000093460083008
liad_olier_left_20250129_145152,46,0.002000093460083008,-4624744.0,-4749859.0,-4767796.0,-4676814.0,-4816054.0,-4712381.0,-4284209.0,3561990.0,-14846.0,1027.0,3292.0,-1133.0,-1190.0,-2559.0,3939.0,0,Rest,0.002000093460083008
liad_olier_left_20250129_145152,47,0.002000093460083008,-4622440.0,-4747226.0,-4764775.0,-4673971.0,-4814287.0,-4712014.0,-4282651.0,3560955.0,-14846.0,1027.0,3292.0,-1133.0,-1190.0,-2559.0,3939.0,0,Rest,0.002000093460083008
liad_olier_left_20250129_145152,48,0.002000093460083008,-4621021.0,-4745517.0,-4762496.0,-4671943.0,-4813674.0,-4713464.0,-4279777.0,3559254.0,-14846.0,1027.0,3292.0,-1133.0,-1190.0,-2559.0,3939.0,0,Rest,0.002000093460083008
liad_olier_left_20250129_145152,49,0.002000093460083008,-4621094.0,-4745324.0,-4762111.0,-4671729.0,-4813986.0,-4714815.0,-4278675.0,3558036.0,-14840.0,958.0,3264.0,-1351.0,-1089.0,-2572.0,3939.0,0,Rest,0.002000093460083008
liad_olier_left_20250129_145152,50,0.002000093460083008,-4621392.0,-4745346.0,-4762074.0,-4671812.0,-4814183.0,-4715424.0,-4278197.0,3557278.0,-14840.0,958.0,3264.0,-1351.0,-1089.0,-2572.0,3939.0,0,Rest,0.002000093460083008
liad_olier_left_20250129_145152,51,0.002000093460083008,-4622322.0,-4746007.0,-4762839.0,-4672651.0,-4814780.0,-4715967.0,-4278754.0,3556748.0,-14840.0,958.0,3264.0,-1351.0,-1089.0,-2572.0,3939.0,0,Rest,0.002000093460083008
liad_olier_left_20250129_145152,52,0.002000093460083008,-4624796.0,-4748241.0,-4765706.0,-4675467.0,-4816232.0,-4715826.0,-4282259.0,3557316.0,-14840.0,958.0,3264.0,-1351.0,-1089.0,-2572.0,3939.0,0,Rest,0.002000093460083008
liad_olier_left_20250129_145152,53,0.002000093460083008,-4625992.0,-4749149.0,-4767294.0,-4676966.0,-4816299.0,-4713979.0,-4286536.0,3558203.0,-14840.0,958.0,3264.0,-1351.0,-1089.0,-2572.0,3939.0,0,Rest,0.002000093460083008
liad_olier_left_20250129_145152,54,0.002000093460083008,-4626010.0,-4748850.0,-4767368.0,-4677021.0,-4815711.0,-4712482.0,-4289457.0,3558568.0,-14840.0,958.0,3264.0,-1351.0,-1089.0,-2572.0,3939.0,0,Rest,0.002000093460083008
liad_olier_left_20250129_145152,55,0.002000093460083008,-4626154.0,-4748677.0,-4767456.0,-4677138.0,-4815492.0,-4711851.0,-4291732.0,3558637.0,-14840.0,958.0,3264.0,-1351.0,-1089.0,-2572.0,3939.0,0,Rest,0.002000093460083008
liad_olier_left_20250129_145152,56,0.002000093460083008,-4626158.0,-4748375.0,-4767331.0,-4677063.0,-4815224.0,-4711342.0,-4293251.0,3558696.0,-14840.0,958.0,3264.0,-1351.0,-1089.0,-2572.0,3939.0,0,Rest,0.002000093460083008
liad_olier_left_20250129_145152,57,0.002000093460083008,-4625804.0,-4747697.0,-4766772.0,-4676580.0,-4814809.0,-4711084.0,-4294403.0,3558523.0,-14840.0,958.0,3264.0,-1351.0,-1089.0,-2572.0,3939.0,0,Rest,0.002000093460083008
liad_olier_left_20250129_145152,58,0.002000093460083008,-4625906.0,-4747500.0,-4766662.0,-4676536.0,-4814807.0,-4711240.0,-4295160.0,3558381.0,-14840.0,958.0,3264.0,-1351.0,-1089.0,-2572.0,3939.0,0,Rest,0.002000093460083008
liad_olier_left_20250129_145152,59,0.002000093460083008,-4625986.0,-4747271.0,-4766584.0,-4676506.0,-4814564.0,-4710878.0,-4296602.0,3558130.0,-14825.0,923.0,3309.0,-1676.0,-957.0,-2507.0,3939.0,0,Rest,0.002000093460083008
liad_olier_left_20250129_145152,60,0.002000093460083008,-4626229.0,-4747189.0,-4766615.0,-4676569.0,-4814414.0,-4710593.0,-4297837.0,3557777.0,-14825.0,923.0,3309.0,-1676.0,-957.0,-2507.0,3939.0,0,Rest,0.002000093460083008
liad_olier_left_20250129_145152,61,0.002000093460083008,-4626485.0,-4747139.0,-4766626.0,-4676611.0,-4814252.0,-4710282.0,-4298705.0,3557435.0,-14825.0,923.0,3309.0,-1676.0,-957.0,-2507.0,3939.0,0,Rest,0.002000093460083008
liad_olier_left_20250129_145152,62,0.002000093460083008,-4626767.0,-4747097.0,-4766717.0,-4676717.0,-4813967.0,-4709659.0,-4300500.0,3556930.0,-14825.0,923.0,3309.0,-1676.0,-957.0,-2507.0,3939.0,0,Rest,0.002000093460083008
liad_olier_left_20250129_145152,63,0.002000093460083008,-4627061.0,-4747074.0,-4766785.0,-4676791.0,-4813727.0,-4709145.0,-4301931.0,3556476.0,-14825.0,923.0,3309.0,-1676.0,-957.0,-2507.0,3939.0,0,Rest,0.002000093460083008
liad_olier_left_20250129_145152,64,0.002000093460083008,-4627326.0,-4747040.0,-4766813.0,-4676839.0,-4813629.0,-4708942.0,-4302840.0,3555139.0,-14825.0,923.0,3309.0,-1676.0,-957.0,-2507.0,3939.0,0,Rest,0.002000093460083008
liad_olier_left_20250129_145152,65,0.002000093460083008,-4627403.0,-4746824.0,-4766766.0,-4676822.0,-4813374.0,-4708569.0,-4304424.0,3550001.0,-14825.0,923.0,3309.0,-1676.0,-957.0,-2507.0,3939.0,0,Rest,0.002000093460083008
liad_olier_left_20250129_145152,66,0.002000093460083008,-4627459.0,-4746572.0,-4766767.0,-4676866.0,-4813090.0,-4708139.0,-4306982.0,3552033.0,-14825.0,923.0,3309.0,-1676.0,-957.0,-2507.0,3939.0,0,Rest,0.002000093460083008
liad_olier_left_20250129_145152,67,0.002000093460083008,-4627521.0,-4746312.0,-4766736.0,-4676880.0,-4812899.0,-4707954.0,-4309277.0,3558133.0,-14825.0,923.0,3309.0,-1676.0,-957.0,-2507.0,3939.0,0,Rest,0.002000093460083008
liad_olier_left_20250129_145152,68,0.002000093460083008,-4627774.0,-4746269.0,-4766880.0,-4677053.0,-4812892.0,-4707924.0,-4311212.0,3568261.0,-14825.0,923.0,3309.0,-1676.0,-957.0,-2507.0,3939.0,0,Rest,0.002000093460083008
liad_olier_left_20250129_145152,69,0.002000093460083008,-4628024.0,-4746226.0,-4766967.0,-4677134.0,-4812727.0,-4707627.0,-4312731.0,3571590.0,-14830.0,833.0,3378.0,-1895.0,-745.0,-2466.0,3939.0,0,Rest,0.002000093460083008
liad_olier_left_20250129_145152,70,0.002000093460083008,-4628302.0,-4746194.0,-4767011.0,-4677167.0,-4812501.0,-4707259.0,-4314034.0,3571228.0,-14830.0,833.0,3378.0,-1895.0,-745.0,-2466.0,3939.0,0,Rest,0.002000093460083008
liad_olier_left_20250129_145152,71,0.002000093460083008,-4628614.0,-4746212.0,-4767046.0,-4677191.0,-4812275.0,-4706889.0,-4315031.0,3570801.0,-14830.0,833.0,3378.0,-1895.0,-745.0,-2466.0,3939.0,0,Rest,0.002000093460083008
liad_olier_left_20250129_145152,72,0.002000093460083008,-4628966.0,-4746281.0,-4767186.0,-4677294.0,-4811976.0,-4706291.0,-4316639.0,3570257.0,-14830.0,833.0,3378.0,-1895.0,-745.0,-2466.0,3939.0,0,Rest,0.002000093460083008
liad_olier_left_20250129_145152,73,0.002000093460083008,-4629213.0,-4746222.0,-4767222.0,-4677316.0,-4811580.0,-4705616.0,-4318512.0,3569698.0,-14830.0,833.0,3378.0,-1895.0,-745.0,-2466.0,3939.0,0,Rest,0.002000093460083008
liad_olier_left_20250129_145152,74,0.003000020980834961,-4629629.0,-4746341.0,-4767419.0,-4677503.0,-4811498.0,-4705384.0,-4319974.0,3569273.0,-14830.0,833.0,3378.0,-1895.0,-745.0,-2466.0,3939.0,0,Rest,0.003000020980834961
liad_olier_left_20250129_145152,75,0.003000020980834961,-4629936.0,-4746362.0,-4767526.0,-4677583.0,-4811347.0,-4705106.0,-4321180.0,3569021.0,-14830.0,833.0,3378.0,-1895.0,-745.0,-2466.0,3939.0,0,Rest,0.003000020980834961
liad_olier_left_20250129_145152,76,0.003000020980834961,-4630130.0,-4746277.0,-4767586.0,-4677641.0,-4811087.0,-4704704.0,-4323002.0,3568793.0,-14830.0,833.0,3378.0,-1895.0,-745.0,-2466.0,3939.0,0,Rest,0.003000020980834961
liad_olier_left_20250129_145152,77,0.003000020980834961,-4630358.0,-4746219.0,-4767666.0,-4677713.0,-4810936.0,-4704520.0,-4324642.0,3568647.0,-14830.0,833.0,3378.0,-1895.0,-745.0,-2466.0,3939.0,0,Rest,0.003000020980834961
liad_olier_left_20250129_145152,78,0.003000020980834961,-4630664.0,-4746247.0,-4767824.0,-4677858.0,-4810814.0,-4704345.0,-4326271.0,3568498.0,-14830.0,833.0,3378.0,-1895.0,-745.0,-2466.0,3939.0,0,Rest,0.003000020980834961
liad_olier_left_20250129_145152,79,0.003000020980834961,-4630973.0,-4746272.0,-4767954.0,-4677945.0,-4810536.0,-4703877.0,-4327904.0,3568223.0,-14887.0,759.0,3414.0,-1863.0,-677.0,-2487.0,3939.0,0,Rest,0.003000020980834961
liad_olier_left_20250129_145152,80,0.003000020980834961,-4631341.0,-4746350.0,-4768081.0,-4678019.0,-4810254.0,-4703389.0,-4329226.0,3567831.0,-14887.0,759.0,3414.0,-1863.0,-677.0,-2487.0,3939.0,0,Rest,0.003000020980834961
liad_olier_left_20250129_145152,81,0.003000020980834961,-4631610.0,-4746330.0,-4768121.0,-4678004.0,-4809823.0,-4702741.0,-4330796.0,3567362.0,-14887.0,759.0,3414.0,-1863.0,-677.0,-2487.0,3939.0,0,Rest,0.003000020980834961
liad_olier_left_20250129_145152,82,0.003000020980834961,-4632012.0,-4746433.0,-4768327.0,-4678144.0,-4809411.0,-4701985.0,-4333015.0,3566718.0,-14887.0,759.0,3414.0,-1863.0,-677.0,-2487.0,3939.0,0,Rest,0.003000020980834961
liad_olier_left_20250129_145152,83,0.003000020980834961,-4632473.0,-4746603.0,-4768527.0,-4678266.0,-4809072.0,-4701341.0,-4334626.0,3566195.0,-14887.0,759.0,3414.0,-1863.0,-677.0,-2487.0,3939.0,0,Rest,0.003000020980834961
liad_olier_left_20250129_145152,84,0.003000020980834961,-4632799.0,-4746635.0,-4768635.0,-4678321.0,-4808729.0,-4700802.0,-4336351.0,3565726.0,-14887.0,759.0,3414.0,-1863.0,-677.0,-2487.0,3939.0,0,Rest,0.003000020980834961
liad_olier_left_20250129_145152,85,0.003000020980834961,-4633162.0,-4746709.0,-4768847.0,-4678474.0,-4808466.0,-4700326.0,-4338469.0,3565374.0,-14887.0,759.0,3414.0,-1863.0,-677.0,-2487.0,3939.0,0,Rest,0.003000020980834961
liad_olier_left_20250129_145152,86,0.003000020980834961,-4633607.0,-4746876.0,-4769111.0,-4678657.0,-4808292.0,-4699975.0,-4340117.0,3565135.0,-14887.0,759.0,3414.0,-1863.0,-677.0,-2487.0,3939.0,0,Rest,0.003000020980834961
liad_olier_left_20250129_145152,87,0.003000020980834961,-4633813.0,-4746811.0,-4769166.0,-4678664.0,-4807944.0,-4699525.0,-4341918.0,3564949.0,-14887.0,759.0,3414.0,-1863.0,-677.0,-2487.0,3939.0,0,Rest,0.003000020980834961
liad_olier_left_20250129_145152,88,0.003000020980834961,-4634103.0,-4746818.0,-4769349.0,-4678781.0,-4807630.0,-4699073.0,-4344210.0,3564709.0,-14887.0,759.0,3414.0,-1863.0,-677.0,-2487.0,3939.0,0,Rest,0.003000020980834961
liad_olier_left_20250129_145152,89,0.003000020980834961,-4634535.0,-4746959.0,-4769609.0,-4678945.0,-4807302.0,-4698506.0,-4346344.0,3564366.0,-14988.0,711.0,3443.0,-1730.0,-457.0,-2566.0,3939.0,0,Rest,0.003000020980834961
liad_olier_left_20250129_145152,90,0.003000020980834961,-4634976.0,-4747101.0,-4769820.0,-4679049.0,-4806906.0,-4697865.0,-4348272.0,3563900.0,-14988.0,711.0,3443.0,-1730.0,-457.0,-2566.0,3939.0,0,Rest,0.003000020980834961
liad_olier_left_20250129_145152,91,0.003000020980834961,-4635404.0,-4747240.0,-4769976.0,-4679077.0,-4806467.0,-4697194.0,-4349796.0,3563363.0,-14988.0,711.0,3443.0,-1730.0,-457.0,-2566.0,3939.0,0,Rest,0.003000020980834961
liad_olier_left_20250129_145152,92,0.003000020980834961,-4635832.0,-4747380.0,-4770164.0,-4679137.0,-4805925.0,-4696297.0,-4351856.0,3562677.0,-14988.0,711.0,3443.0,-1730.0,-457.0,-2566.0,3939.0,0,Rest,0.003000020980834961
liad_olier_left_20250129_145152,93,0.003000020980834961,-4636231.0,-4747482.0,-4770346.0,-4679189.0,-4805351.0,-4695368.0,-4354216.0,3561973.0,-14988.0,711.0,3443.0,-1730.0,-457.0,-2566.0,3939.0,0,Rest,0.003000020980834961
liad_olier_left_20250129_145152,94,0.003000020980834961,-4636710.0,-4747690.0,-4770630.0,-4679347.0,-4805019.0,-4694804.0,-4356354.0,3561441.0,-14988.0,711.0,3443.0,-1730.0,-457.0,-2566.0,3939.0,0,Rest,0.003000020980834961
liad_olier_left_20250129_145152,95,0.003000020980834961,-4637151.0,-4747867.0,-4770912.0,-4679506.0,-4804690.0,-4694258.0,-4358426.0,3561054.0,-14988.0,711.0,3443.0,-1730.0,-457.0,-2566.0,3939.0,0,Rest,0.003000020980834961
liad_olier_left_20250129_145152,96,0.003000020980834961,-4637644.0,-4748092.0,-4771258.0,-4679711.0,-4804406.0,-4693762.0,-4360538.0,3560723.0,-14988.0,711.0,3443.0,-1730.0,-457.0,-2566.0,3939.0,0,Rest,0.003000020980834961
liad_olier_left_20250129_145152,97,0.003000020980834961,-4638015.0,-4748210.0,-4771474.0,-4679798.0,-4804087.0,-4693323.0,-4362293.0,3560534.0,-14988.0,711.0,3443.0,-1730.0,-457.0,-2566.0,3939.0,0,Rest,0.003000020980834961
liad_olier_left_20250129_145152,98,0.003000020980834961,-4638330.0,-4748278.0,-4771696.0,-4679892.0,-4803685.0,-4692767.0,-4364559.0,3560303.0,-14988.0,711.0,3443.0,-1730.0,-457.0,-2566.0,3939.0,0,Rest,0.003000020980834961
liad_olier_left_20250129_145152,99,0.003000020980834961,-4638762.0,-4748449.0,-4771951.0,-4679995.0,-4803254.0,-4692097.0,-4366524.0,3559965.0,-15125.0,635.0,3463.0,-1504.0,-236.0,-2482.0,3939.0,0,Rest,0.003000020980834961
liad_olier_left_20250129_145152,100,0.003000020980834961,-4639145.0,-4748575.0,-4772147.0,-4680047.0,-4802714.0,-4691283.0,-4368756.0,3558593.0,-15125.0,635.0,3463.0,-1504.0,-236.0,-2482.0,3939.0,0,Rest,0.003000020980834961
liad_olier_left_20250129_145152,101,0.003000020980834961,-4639497.0,-4748684.0,-4772309.0,-4680046.0,-4802115.0,-4690402.0,-4370835.0,3553189.0,-15125.0,635.0,3463.0,-1504.0,-236.0,-2482.0,3939.0,0,Rest,0.003000020980834961
liad_olier_left_20250129_145152,102,0.003000020980834961,-4639817.0,-4748734.0,-4772511.0,-4680090.0,-4801384.0,-4689287.0,-4374086.0,3554308.0,-15125.0,635.0,3463.0,-1504.0,-236.0,-2482.0,3939.0,0,Rest,0.003000020980834961
liad_olier_left_20250129_145152,103,0.003000020980834961,-4640272.0,-4748926.0,-4772804.0,-4680219.0,-4800815.0,-4688372.0,-4377136.0,3559512.0,-15125.0,635.0,3463.0,-1504.0,-236.0,-2482.0,3939.0,0,Rest,0.003000020980834961
