MAV_CH1,RMS_CH1,WL_CH1,ZC_CH1,SSC_CH1,MAV_CH2,RMS_CH2,WL_CH2,ZC_CH2,SSC_CH2,MAV_CH3,RMS_CH3,WL_CH3,ZC_CH3,SSC_CH3,MAV_CH4,RMS_CH4,WL_CH4,ZC_CH4,SSC_CH4,MAV_CH5,RMS_CH5,WL_CH5,ZC_CH5,SSC_CH5,MAV_CH6,RMS_CH6,WL_CH6,ZC_CH6,SSC_CH6,MAV_CH7,RMS_CH7,WL_CH7,ZC_CH7,SSC_CH7,MAV_CH8,RMS_CH8,WL_CH8,ZC_CH8,SSC_CH8,Label,SessionID
707.845,822.4396968775279,550.085,0.705,0.875,468.07,552.3045355598666,366.745,0.505,0.825,306.36,381.65316715573056,241.115,0.335,0.51,347.915,439.7532546781206,299.505,0.44,0.72,246.24,305.4567727191525,214.52,0.42,0.71,222.635,283.4251312075201,191.62,0.47,0.675,1319.57,1501.781265697505,1012.7,0.745,0.865,944.505,1078.1399329400615,729.675,0.745,0.865,0,liad_olier_personal_1_20250306_214720
216.785,267.8911439372343,181.805,0.68,0.905,246.12,305.5911157085559,205.67,0.39,0.675,266.575,329.22822631117157,204.63,0.38,0.535,263.915,322.6173042476178,204.16,0.395,0.585,225.985,280.12151827376636,171.175,0.395,0.585,246.625,307.208992381408,188.87,0.315,0.545,361.89,417.83237069427736,197.62,0.89,0.945,258.795,302.26130251820194,152.065,0.84,0.955,0,liad_olier_personal_1_20250306_214720
163.7,197.4822270484106,115.175,0.545,0.735,238.38,296.3113565154059,189.23,0.42,0.595,274.585,342.14423128265656,212.785,0.4,0.565,272.935,342.70886332279184,207.345,0.39,0.58,239.685,304.30809223548425,196.805,0.4,0.52,243.375,319.09041822029064,195.315,0.355,0.56,198.45,245.4375888082345,105.595,0.7,0.88,147.52,182.43829093696314,86.995,0.705,0.845,0,liad_olier_personal_1_20250306_214720
143.71,180.6828990247832,114.38,0.35,0.545,251.69,310.28259699828476,190.005,0.34,0.525,290.33,355.5192681135581,223.495,0.35,0.535,286.315,350.2292749043118,209.055,0.35,0.555,257.74,326.0672629995228,190.04,0.35,0.565,246.615,310.48630404576625,176.37,0.37,0.495,113.555,139.27865952829958,103.495,0.6,0.885,92.235,115.37172530563977,79.265,0.485,0.855,0,liad_olier_personal_1_20250306_214720
133.53,165.5704079840356,101.27,0.385,0.505,267,325.30625570375986,179.935,0.355,0.525,315.37,381.5452790954174,209.835,0.365,0.495,294.645,361.37477084046697,200.085,0.385,0.505,242.795,298.68763784261307,164.32,0.37,0.54,218.43,270.4952125269503,160.54,0.36,0.535,86.35,110.63272571893002,59.91,0.355,0.58,67.805,86.12702827800341,51.675,0.435,0.585,0,liad_olier_personal_1_20250306_214720
126.405,158.33854552824465,110.245,0.385,0.57,233.595,293.8369190554516,203.89,0.375,0.57,271.645,341.392274370701,234.73,0.365,0.56,265.53,336.03688785608045,230.915,0.36,0.57,232.675,295.8592655300827,189.05,0.355,0.55,237.115,304.7080652034009,187.385,0.355,0.54,78.06,102.14763824974123,55.555,0.325,0.52,68.3,85.68978935672557,53.8,0.445,0.56,0,liad_olier_personal_1_20250306_214720
126.695,151.31102074865532,97.755,0.395,0.565,237.405,299.14024302992067,200.22,0.405,0.565,279.735,353.31892816547486,236.165,0.415,0.565,272.305,341.76868639476027,223.625,0.405,0.58,235.73,294.7192732075729,183.345,0.395,0.595,244.055,315.3112509886065,187.005,0.395,0.595,93.855,122.42219978418947,61.59,0.265,0.48,76.29,95.67157362560731,52.72,0.335,0.56,0,liad_olier_personal_1_20250306_214720
119.99,149.02613864688303,92.965,0.37,0.495,227.535,276.6723603831796,171.115,0.385,0.54,266.7,324.0424663527915,203.33,0.365,0.53,252.97,307.1012048169137,192.485,0.365,0.54,221.345,274.35957245920906,168.21,0.385,0.545,229.78,289.67530098370486,159.29,0.405,0.54,77.735,101.79511284929154,56.905,0.33,0.535,69.405,87.98997101942925,55.475,0.425,0.545,0,liad_olier_personal_1_20250306_214720
115.155,143.87190483204148,96.215,0.42,0.545,230.515,290.3275477800893,186.035,0.35,0.505,277.175,350.8224978532591,222.1,0.36,0.505,274.89,350.59120068820897,217.845,0.35,0.505,253.155,334.3273919379027,196.09,0.33,0.53,215.81,271.832558756305,162.335,0.36,0.545,84.175,102.55264501708379,55.275,0.335,0.475,73.795,92.39780841556795,49.855,0.385,0.545,0,liad_olier_personal_1_20250306_214720
117.755,141.3156573066127,84.395,0.4,0.525,213.22,255.627521992449,156.265,0.37,0.54,249.65,300.72188147855155,184.095,0.39,0.555,243.07,291.8186423105967,171.765,0.41,0.525,221.075,273.9200339515166,164.455,0.39,0.525,233.58,305.860883409435,190.14,0.355,0.495,80.225,104.7114368156602,57.98,0.295,0.435,77.515,95.44110749566981,57.04,0.305,0.495,0,liad_olier_personal_1_20250306_214720
